distribution_status,rows,amount_micro,amount_phmn
eligible_snapshot,26009,70984952788,70984.952788
excluded_incident,2,17132149313,17132.149313
quarantined_unresolved_accounting_gap,1,57230100,57.230100
rerouted_to_subdao,18,33647667799,33647.667799
