chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,distribution_note
osmosis,current,osmo10e85vwxj4enr7x3yj2adl8hwh6ec2q46ukawh390lsdvlehygz2s6yhu48,cosmos10e85vwxj4enr7x3yj2adl8hwh6ec2q46ukawh390lsdvlehygz2s0e0yzp,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,63460,0.063460,,,
osmosis,current,osmo1frwewwrswegyuxsz800zeaqesq5k678xl0c69t,cosmos1frwewwrswegyuxsz800zeaqesq5k678xh5t2ne,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,63093,0.063093,,,
osmosis,current,osmo1ppw4g9zpk2e92et7p6j5ack2qzmh8mc47a82wm,cosmos1ppw4g9zpk2e92et7p6j5ack2qzmh8mc4kx56cf,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,62703,0.062703,,,
osmosis,current,osmo19vwgtjz3dspgaymqj24nkq7kk8ltrdfk42zx9m,cosmos19vwgtjz3dspgaymqj24nkq7kk8ltrdfka33knf,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,62678,0.062678,,,
osmosis,current,osmo10mmmz8rf4vcg3ns5nqv072fd7zjnmc6u62k5h7,cosmos10mmmz8rf4vcg3ns5nqv072fd7zjnmc6uj39ypv,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,55825,0.055825,,,
osmosis,current,osmo1vhver583m9gg8xzg8787cr64qw585ystvkagwz,cosmos1vhver583m9gg8xzg8787cr64qw585ystydwccs,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,54911,0.054911,,,
osmosis,current,osmo1y5kflvms303ausemce2h3t2gkztvdfvwec60za,cosmos1y5kflvms303ausemce2h3t2gkztvdfvw3rfl50,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,50000,0.050000,,,
osmosis,current,osmo1clpqr4nrk4khgkxj78fcwwh6dl3uw4epasmvnj,cosmos1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep4tgu9q,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,49594,0.049594,,,
osmosis,current,osmo1cxlj7qzd7zel7gjdxuqjrdh6mea7qqjt2ahnsk,cosmos1cxlj7qzd7zel7gjdxuqjrdh6mea7qqjtzxyrxy,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,48806,0.048806,,,
osmosis,current,osmo1fj8d32l98legw3l23ag5gl6ulc64akfr2fq32m,cosmos1fj8d32l98legw3l23ag5gl6ulc64akfrzjnpuf,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,44665,0.044665,,,
osmosis,current,osmo16d5keuyzhm40ffp5e0shspvu0z3psmm6zf59tp,cosmos16d5keuyzhm40ffp5e0shspvu0z3psmm62j84an,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,44299,0.044299,,,
osmosis,current,osmo1kw6mw70wafdxgp2n8s4lscx04du8ka6d4da67m,cosmos1kw6mw70wafdxgp2n8s4lscx04du8ka6dakw2gf,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,42601,0.042601,,,
osmosis,current,osmo188ykngjxrwqq7e5lg0upzln2erxe8fehz0vr60,cosmos188ykngjxrwqq7e5lg0upzln2erxe8feh25lnva,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,32838,0.032838,,,
osmosis,current,osmo17m285e3muw8d4p30utcmplha7dtd8mxnh5nayn,cosmos17m285e3muw8d4p30utcmplha7dtd8mxnl0qdjp,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,32766,0.032766,,,
osmosis,current,osmo17gktyn3nmuzmh0n5fjmkkrcqyh55y4d7xdpydq,cosmos17gktyn3nmuzmh0n5fjmkkrcqyh55y4d7wkj5mj,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,30636,0.030636,,,
osmosis,current,osmo1eh50jml00xqxz27x6sh80ycgkvsjfq2mj8mtgs,cosmos1eh50jml00xqxz27x6sh80ycgkvsjfq2m6ugm7z,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,30113,0.030113,,,
